UF_D,AC,AL,AM,AP,BA,CE,DF,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
AC,0.0,0.016670724757032213,0.48808185465718557,0.0012447784710414842,0.011999897129712998,0.027990065432951503,0.057806581519674154,0.020125857522446427,0.0038855701806341653,0.015414312842336134,0.007131300960265699,0.007148751125747588,0.01131934067591929,0.01788641961893721,0.010586433725679911,0.0023906726710189253,0.025308556670567743,0.04469569052094749,0.0099116939937135,0.0652113591719132,0.0010586433725679912,0.012540852259651587,0.017717734685945608,0.0018090004882892596,0.12007458868088484,0.001989318864935456
AL,0.004007245737572357,0.0,0.004311068310193908,0.0007923478545901252,0.06289938662620985,0.016124032041065137,0.07394666658488147,0.006902259942772425,0.00269960409241264,0.02404481285086419,0.00924584287079153,0.010956350570396563,0.0037944360941942652,0.0004992326854089809,0.2506406558633214,0.001959454829594499,0.03375912550741563,0.052209299175425015,0.01428771235103532,0.004103612368536021,0.0006839353947560035,0.024293759980853653,0.013261119160944192,0.1350473556297976,0.24784962113682332,0.0016810623401439144
AM,0.03978289664074662,0.0033911229510576154,0.0,0.002692244951301048,0.014403145403938345,0.05887890682725259,0.04461032151580469,0.011762012425753822,0.00866504409548927,0.017268545202940272,0.004680396395384657,0.005523222401061236,0.2485890299102271,0.002603581324466259,0.03081530428180378,0.004511413953652472,0.024950987692801654,0.06653735798279398,0.005320860711579483,0.10121120862250325,0.08807021602409543,0.02738664595393561,0.01961239425585521,0.001983979038114914,0.16533993132151356,0.0014092301159270497
AP,0.0006931168565985088,0.0017482259176553484,0.007380151145158211,0.0,0.005547740993907903,0.03370456099030239,0.03132775946180467,0.011979416440562893,0.006768412381034832,0.008960008595623637,0.002023227747398886,0.00318216402988951,0.7192118634793955,0.002449761197613353,0.009692411427899795,0.003092367514054886,0.013511569491991175,0.020922588189467538,0.008095717130715377,0.002455373479853017,0.0010438844965775112,0.007354895875079723,0.011258238172766064,0.0009372511340238946,0.08570239972876276,0.0009568941218627187
BA,0.0005531230865215973,0.03214511386888628,0.00641548306790442,0.0004945476726201322,0.0,0.03675354797517867,0.04105574832441593,0.04494264654927191,0.012633315894657564,0.22166223351191444,0.003844847373669227,0.006773622242397853,0.01571641541996436,0.008657396854763235,0.062000662973837384,0.07017613739273944,0.020241951251428664,0.05917320408443209,0.00914552530394211,0.0013285117846966992,0.005326091530049896,0.01772187111544874,0.019692585232880585,0.0509935920875185,0.22975819526863386,0.022793630132226447
CE,0.0015677182504426743,0.0009057271582909027,0.02120569895931585,0.007015864131705822,0.044847128602027005,0.0,0.04064421919054131,0.007146420189557159,0.04584307274756971,0.01661932245321757,0.003086230027236803,0.0036186440721140698,0.049330499556620985,0.12697686415739537,0.130724331931442,0.10900856681313867,0.013903781194133148,0.05327158445823117,0.13335433582871617,0.009723865517060275,0.001458807922100559,0.01144870620222836,0.008366740736041097,0.005113869903610692,0.15414911999879993,0.0006688799984625681
DF,0.007018029460180213,0.01644549916719401,0.013201566240432037,0.005115612521421828,0.09479939891463164,0.036187514982045824,0.0,0.12869849386739804,0.019941943493176788,0.11557304078372788,0.010964852895080496,0.027672274375869832,0.025480512030499846,0.015508137186007505,0.030218877654980558,0.019754475060872467,0.03325425785555244,0.10531300359169267,0.011760975509996082,0.005928754988028334,0.004658108746864404,0.03454522234375763,0.026917030390874997,0.009403090981710676,0.17499026401288784,0.02664906294511613
GO,0.0012143068150121286,0.0017807128064199023,0.004006096585198743,0.0015531359513647192,0.08175836933800917,0.010824277387076461,0.004384156726562403,0.0,0.024538773401325122,0.11485886064285944,0.02698362364387345,0.2082138906464509,0.06398470257409591,0.001525069266417349,0.009733734508097317,0.004143053758279572,0.014685644560739368,0.032647313745215165,0.003083277510242436,0.012102505640391005,0.0005687730612226121,0.01952191162193592,0.01570821872074958,0.007025135610911629,0.15329894389102436,0.1818555115865255
MA,0.000480091892640112,0.001373173496960551,0.012422215572989056,0.007950581575833891,0.013850731074864892,0.06493969211772029,0.03584155770832398,0.005801225665244927,0.0,0.012103988250034638,0.0020393528811283143,0.021764659367133923,0.12315620592305045,0.0015564938882424379,0.013978698666539975,0.17256495328858062,0.01373311851972839,0.03747207152814061,0.0017197528027425336,0.0014209059761999855,0.002143810915405918,0.010767478831330467,0.0064501106728766635,0.0012956946900791497,0.0992040026859586,0.3359694320082499
MG,0.0007305549369224357,0.007106145091988574,0.006800768430252507,0.0032933739170821993,0.15233067126596592,0.018439277394930648,0.0475789889269481,0.07918298554432093,0.014218562466270002,0.0,0.005505654104838106,0.018097372154526555,0.020779723596800973,0.007745870047471563,0.019520106045742218,0.0075146230755932155,0.025978418714456546,0.13962850300677343,0.009157910850883633,0.00528328132654867,0.0006258916537120404,0.02915669319339762,0.020986423815000134,0.005474598500097847,0.3475964122615972,0.007267189677878865
